island name,Region,Area km2,Perimeter km,abiotic_plant,zoo_plant,total plant,kgc variety,kgc median,phz_variety,phz median,elevation mean,elevation std,elevation range,precipitation mean,precipitation std,precipitation range,median_soil,soil_variety,near_length,number_near,mass_effect,native total bird,native total reptile,native total mammal,native total frugivore,total_bird_mass,total_mammal_mass,total_reptile_mass,total_frugivore_mass,min_temp_range,min_temp_mean,Centroid_X,Centroid_Y
Cuba,Cuba,107494.4782,5722.237419,1797,1075,2872,8,3,7,120,102.0828682,152.9304764,1972,1338.696352,179.0888082,673,72,18,0,10,53826.04986,63,27,31,120,4939,16555,18892,40312,11.89999962,22.36356735,-78.9472675,21.61270459
Hispaniola,Hispaniola,74777.48525,2823.579872,1361,1207,2568,8,3,7,125,403.2117007,450.3009669,3089,1409.206088,375.0196293,1050,85,15,668.8922357,8,572.8127444,55,61,9,119,4281,3087,26275,33535,21.4,20.21666665,-71.2670558,18.90929678
Jamaica,Jamaica,11106.21588,817.8434563,1082,780,1862,4,1,5,125,319.5809377,274.8555364,2247,1728.793305,363.4733709,1003,84,8,145300,0,NA,60,11,4,74,4369,1620,4405,10334,15.89999962,20.86406243,-77.30980109,18.1560928
Puerto Rico,Lesser Antilles,8870.173193,699.2832657,964,791,1755,4,1,3,130,236.5173874,230.6395573,1315,1738.181954,353.1182995,1035,84,11,9432.090604,7,124.0760512,43,14,14,75,3797,114,37179,41070,8.699999809,21.25428554,-66.47807394,18.2261467
North Andros,Bahamas,3881.482101,518.7158362,674,321,993,1,3,2,130,5.166782187,4.067389335,91,1245.882656,31.73901822,86,99,3,511.5589263,7,70.41961303,48,7,14,67,2254,0,11910,14140,1.600000381,23.0512821,-78.05642308,24.68956614
Isla de la Juventud,Cuba,2280.847118,321.3745919,1153,523,1676,1,3,2,130,18.92481335,17.61949994,294,1301.366486,60.60688357,190,62,5,40948.50034,4,2283.006207,49,12,7,68,3503,13048,29994,46515,3.399999619,22.32535209,-82.8430415,21.67916704
Great Inagua Island,Bahamas,1582.053164,227.9666829,526,293,819,1,6,2,135,4.760796207,2.451177575,34,795.3812797,26.3907514,76,31,1,10179.34086,4,1583.082646,39,2,0,41,2064,0,11823,13884,1.599998474,19.08611137,-73.35299858,21.07724446
Cayo Coco,Cuba,1496.580425,1149.199454,1649,534,2183,1,3,4,130,2.818947834,4.338197382,73,1050.417426,110.3956878,115,99,1,0,8,26811.25745,57,10,18,85,4194,12589,17984,34743,1.5,22.13440865,-78.07867625,22.25058525
Great Abaco Island,Bahamas,1243.907677,620.698738,690,252,942,3,3,2,125,4.821188226,4.298735327,39,1240.021291,72.88388545,279,99,1,0,6,658.0591739,47,4,3,54,2425,16,222,2661,1.399999619,21.95701746,-77.21499997,26.33857125
Martinique,Lesser Antilles,1180.248716,273.6555828,809,493,1302,1,1,1,145,174.4437283,189.0790744,1374,1981.015349,76.24227094,395,45,9,31864.9116,2,698.3657185,28,2,2,32,1826,88,11697,13607,8.100000381,19.2311114,-61.02162847,14.64800277
