Class,Order,Family,Species,Genus,Origin,Details ,Sindrome,Subsindrome,fruit.color,life.form,fruit.size.category,fruit.diam,seed.diam,wood.density,IUCN,IUCNcriteria,Bahamas,Cuba,Cayman,Hispaniola,Jamaica,PuertoRico,VirginIslands,LesserAntilles
Equisetopsida,Lamiales,Acanthaceae,Acanthus montanus,Acanthus,exotic,,abiotic,auto,brown,herb,small,,,,NA,NA,0,0,0,1,0,0,0,0
Equisetopsida,Lamiales,Acanthaceae,Andrographis paniculata,Andrographis,exotic,,abiotic,auto,green,herb,small,,,,NA,NA,1,1,0,1,1,0,0,1
Equisetopsida,Lamiales,Acanthaceae,Aphelandra aurantiaca,Aphelandra,exotic,,abiotic,auto,,herb,small,,,,NA,NA,0,0,0,1,0,0,0,0
Equisetopsida,Lamiales,Acanthaceae,Aphelandra pulcherrima,Aphelandra,exotic,,abiotic,auto,,herb,small,,,,NA,NA,0,0,0,0,0,0,0,1
Equisetopsida,Lamiales,Acanthaceae,Aphelandra scabra,Aphelandra,exotic,,abiotic,auto,,herb,small,,,,NA,NA,0,0,0,1,0,0,0,0
Equisetopsida,Lamiales,Acanthaceae,Aphelandra squarrosa,Aphelandra,exotic,,abiotic,auto,,herb,small,,,,NA,NA,0,0,0,1,0,0,0,0
Equisetopsida,Lamiales,Acanthaceae,Aphelandra tetragona,Aphelandra,exotic,,abiotic,auto,,herb,small,,,,NA,NA,0,1,0,0,0,0,0,0
Equisetopsida,Lamiales,Acanthaceae,Asystasia gangetica,Asystasia,exotic,,abiotic,auto,,herb,small,,,,NA,NA,1,1,1,1,1,1,1,1
Equisetopsida,Lamiales,Acanthaceae,Barleria cristata,Barleria,exotic,,abiotic,auto,brown,herb,small,,,,NA,NA,1,0,0,1,1,1,1,1
Equisetopsida,Lamiales,Acanthaceae,Barleria lancifolia,Barleria,exotic,,abiotic,auto,,herb,small,,,,NA,NA,0,1,0,0,0,0,0,0
Equisetopsida,Lamiales,Acanthaceae,Barleria lupulina,Barleria,exotic,,abiotic,auto,brown,herb,small,,,,NA,NA,1,0,0,1,1,1,1,1
Equisetopsida,Lamiales,Acanthaceae,Barleria prionitis,Barleria,exotic,,abiotic,auto,brown,herb,small,,,,NA,NA,0,0,0,0,1,1,0,1
Equisetopsida,Lamiales,Acanthaceae,Barleria repens,Barleria,exotic,,abiotic,auto,brown,herb,small,,,,NA,NA,0,0,0,0,0,1,1,0
Equisetopsida,Lamiales,Acanthaceae,Barleria strigosa,Barleria,exotic,,abiotic,auto,,herb,small,,,,NA,NA,0,0,0,0,0,0,1,1
Equisetopsida,Lamiales,Acanthaceae,Bravaisia integerrima,Bravaisia,exotic,,abiotic,auto,,herb,small,,,,NA,NA,0,0,0,0,0,0,0,1
