Family,Species,Taxa,Status,Frugivore,Source,Note,Body mass,mass source,number of islands
Mimidae,Allenia fusca,bird,1,1,Complete Checklist of the Birds of the West Indies,,67.225,birds of the world,18
Psittacidae,Amazona agilis,bird,1,1,Complete Checklist of the Birds of the West Indies,,213,birds of the world,1
Psittacidae,Amazona arausiaca,bird,1,1,Complete Checklist of the Birds of the West Indies,,620,https://www.parrots.org/encyclopedia/red-necked-amazon/,1
Psittacidae,Amazona collaria,bird,1,1,Complete Checklist of the Birds of the West Indies,,187,birds of the world,1
Psittacidae,Amazona guildingii,bird,1,1,Complete Checklist of the Birds of the West Indies,,646,birds of the world,1
Psittacidae,Amazona imperialis,bird,1,1,Complete Checklist of the Birds of the West Indies,,900,https://www.parrots.org/encyclopedia/imperial-amazon,1
Psittacidae,Amazona leucocephala,bird,1,1,Complete Checklist of the Birds of the West Indies,,261,birds of the world,3
Psittacidae,Amazona ventralis,bird,1,1,Complete Checklist of the Birds of the West Indies,,214,birds of the world,3
Psittacidae,Amazona versicolor,bird,1,1,Complete Checklist of the Birds of the West Indies,,676,birds of the world,3
Psittacidae,Amazona vittata,bird,1,1,Complete Checklist of the Birds of the West Indies,,281,birds of the world,5
Bombycillidae,Bombycilla cedrorum,bird,1,1,Complete Checklist of the Birds of the West Indies,,31.6,birds of the world,61
Calyptophilidae,Calyptophilus frugivorus,bird,1,1,Complete Checklist of the Birds of the West Indies,,32.1,birds of the world,2
Calyptophilidae,Calyptophilus tertius,bird,1,1,Complete Checklist of the Birds of the West Indies,,40.2,birds of the world,1
Parulidae,Cardellina pusilla,bird,1,1,Complete Checklist of the Birds of the West Indies,,7.5,https://www.allaboutbirds.org/guide/Wilsons_Warbler/lifehistory,0
Turdidae,Catharus bicknelli,bird,1,1,Complete Checklist of the Birds of the West Indies,,27.8,birds of the world,7
Turdidae,Catharus fuscescens,bird,1,1,Complete Checklist of the Birds of the West Indies,,31.9,birds of the world,15
Turdidae,Catharus guttatus,bird,1,1,Complete Checklist of the Birds of the West Indies,,30.1,birds of the world,10
Turdidae,Catharus ustulatus,bird,1,1,Complete Checklist of the Birds of the West Indies,,30.3,birds of the world,1
Mimidae,Cinclocerthia gutturalis,bird,1,1,Complete Checklist of the Birds of the West Indies,,69.2,birds of the world,2
