"","Area.km2","Perimeter.km","abiotic_plant","zoo_plant","total.plant","kgc.variety","phz_variety","elevation.mean","elevation.range","precipitation.mean","precipitation.range","soil_variety","near_length","number_near","mass_effect","native.total.bird","native.total.reptile","native.total.mammal","native.total.frugivore","total_bird_mass","total_mammal_mass","total_reptile_mass","total_frugivore_mass","min_temp_range","min_temp_mean","Centroid_X","Centroid_Y"
"Area.km2",1,0.964030364644383,0.419394053168815,0.598515101485253,0.505578500168994,0.773687463952385,0.793717242058754,0.332554769711459,0.617839962607899,0.112022850013169,0.60010449710255,0.82692056037294,-0.0498399367183488,0.144846646852469,0.175467103620077,0.381574539691341,0.774896299990372,0.582528741818593,0.656707592486349,0.539040767894849,0.307476470679325,0.249258399134578,0.35867197604353,0.643249640651518,0.188572342834608,-0.0651290508177209,-0.0105027169510962
"Perimeter.km",0.964030364644383,1,0.485855300155323,0.600060946656434,0.550417581738546,0.731790984508312,0.812264581464648,0.267104261470016,0.556677234602137,0.107979256649259,0.58935313365175,0.80370073634727,-0.0525043932069686,0.153960004509034,0.193018794365401,0.46644822679189,0.698054890457595,0.668272709302422,0.703776545341335,0.609273970451273,0.370693213443831,0.247457762521144,0.384949495296576,0.593179202648503,0.243100886346292,-0.116509158469272,0.0515402037646879
"abiotic_plant",0.419394053168815,0.485855300155323,1,0.821133398215897,0.976448965516636,0.296909286334928,0.569494890760949,0.214645074995453,0.319933680505809,0.330618700791764,0.41465565973314,0.458759951579557,-0.15364772789124,0.24246695243363,0.217319726902607,0.354852560940981,0.381842857133907,0.56195402279345,0.531483622066168,0.617582698387298,0.59294551642958,0.270910082063118,0.499359294282885,0.368028065846489,0.131902573845554,-0.270533487437707,-0.00990533222488695
"zoo_plant",0.598515101485253,0.600060946656434,0.821133398215897,1,0.924930181776489,0.562871424701131,0.679240456689369,0.52300000261722,0.629811214051997,0.429983693313801,0.6777371320671,0.70191329255732,-0.0567218193172283,0.181447064210906,0.21179217813002,0.279214088155077,0.620150580480648,0.559556290062363,0.565895582018638,0.672859027969814,0.39284770101531,0.312653272142145,0.462414887491429,0.669153186370577,0.121236644726813,0.0223120194902845,-0.248501862575126
"total.plant",0.505578500168994,0.550417581738546,0.976448965516636,0.924930181776489,1,0.410545697472949,0.636053553924832,0.340680925739339,0.451179673233585,0.382741032821755,0.532374688128563,0.570871842198193,-0.12375839711494,0.23006943809682,0.22482000008273,0.341846607837084,0.488738959394428,0.585724429099896,0.567857400242807,0.665674173541531,0.543457379548975,0.298612122510643,0.507394180833262,0.498075594462431,0.133603385245464,-0.171730418181952,-0.100576257223555
"kgc.variety",0.773687463952385,0.731790984508312,0.296909286334928,0.562871424701131,0.410545697472949,1,0.660161604255251,0.562322789213083,0.737695294640798,0.254268242082754,0.723278650544428,0.71390791960772,0.073721864243303,0.0401859734987378,0.144730705735475,0.165843117988094,0.720043250361331,0.395499909793416,0.463504674165432,0.408813348923933,0.0231121790025405,0.198850051334781,0.180442231701809,0.736297080061903,0.164163970555753,0.264412158572693,-0.260200552210809
"phz_variety",0.793717242058754,0.812264581464648,0.569494890760949,0.679240456689369,0.636053553924832,0.660161604255251,1,0.393954048156082,0.613066128176752,0.159505607699856,0.708110330888556,0.734992534933127,0.0120392059015787,0.0885552967473876,0.221135083309855,0.517357610096264,0.758650989696816,0.571958288025854,0.72516937139788,0.679935164412686,0.395622059954606,0.291583166410579,0.434910581908615,0.683853856665856,0.208262746739684,-0.19200378293633,0.0428136872241787
"elevation.mean",0.332554769711459,0.267104261470016,0.214645074995453,0.52300000261722,0.340680925739339,0.562322789213083,0.393954048156082,1,0.909154860326815,0.618121536937324,0.706850208553407,0.606553004553569,0.15593544541679,-0.0743086897735116,0.00610534565039352,-0.0293630832001095,0.472130861945045,0.156884286891587,0.194536034257062,0.382554834921763,-0.180964236481793,0.185733812809957,0.0955464715502815,0.878063263780993,0.111652671706416,0.518390847242041,-0.598170527985441
"elevation.range",0.617839962607899,0.556677234602137,0.319933680505809,0.629811214051997,0.451179673233585,0.737695294640798,0.613066128176752,0.909154860326815,1,0.532049220263462,0.814374705596863,0.802921704201659,0.142990983773258,0.00556477179423247,0.00574494412688238,0.115682638312999,0.661710284048643,0.328217844129697,0.387883695421347,0.5081449970005,-0.0315655642846911,0.248795938332753,0.213090172878165,0.978680521165826,0.140688999097832,0.400873662975569,-0.481495606372154
"precipitation.mean",0.112022850013169,0.107979256649259,0.330618700791764,0.429983693313801,0.382741032821755,0.254268242082754,0.159505607699856,0.618121536937324,0.532049220263462,1,0.467848434089271,0.407666702845047,0.094378853339683,-0.0629806848981788,-0.00916162554819768,-0.0930886908347988,0.160843184422992,0.156446238948731,0.0657214438042395,0.249109045114187,0.00131109127882501,0.132647136982869,0.106940125866067,0.492324978504656,0.122009136574328,0.292631844080274,-0.502218550548375
